"state_abbrev","plan_type","age_category","premium_range","contract_year","seq_id","language_id"
"AK","1","1","Information Not Available","2016","47531","1"
"AK","1","1","Información No Disponible","2016","47531","2"
"AK","1","2","$71 - $200","2016","47532","1"
"AK","1","2","$71 - $200","2016","47532","2"
"AK","1","3","Information Not Available","2016","47533","1"
"AK","1","3","Información No Disponible","2016","47533","2"
"AK","1","4","Information Not Available","2016","47534","1"
"AK","1","4","Información No Disponible","2016","47534","2"
"AK","1","5","Information Not Available","2016","47535","1"
"AK","1","5","Información No Disponible","2016","47535","2"
"AK","1","6","Information Not Available","2016","47536","1"
"AK","1","6","Información No Disponible","2016","47536","2"
"AK","2","1","Information Not Available","2016","47537","1"
"AK","2","1","Información No Disponible","2016","47537","2"
"AK","2","2","$102 - $203","2016","47538","1"
"AK","2","2","$102 - $203","2016","47538","2"
"AK","2","3","Information Not Available","2016","47539","1"
"AK","2","3","Información No Disponible","2016","47539","2"
"AK","2","4","Information Not Available","2016","47540","1"
"AK","2","4","Información No Disponible","2016","47540","2"
"AK","2","5","Information Not Available","2016","47541","1"
"AK","2","5","Información No Disponible","2016","47541","2"
"AK","2","6","Information Not Available","2016","47542","1"
"AK","2","6","Información No Disponible","2016","47542","2"
"AK","3","1","Information Not Available","2016","47543","1"
"AK","3","1","Información No Disponible","2016","47543","2"
"AK","3","2","$115 - $211","2016","47544","1"
"AK","3","2","$115 - $211","2016","47544","2"
"AK","3","3","Information Not Available","2016","47545","1"
"AK","3","3","Información No Disponible","2016","47545","2"
"AK","3","4","Information Not Available","2016","47546","1"
"AK","3","4","Información No Disponible","2016","47546","2"
"AK","3","5","Information Not Available","2016","47547","1"
"AK","3","5","Información No Disponible","2016","47547","2"
"AK","3","6","Information Not Available","2016","47548","1"
"AK","3","6","Información No Disponible","2016","47548","2"
"AK","4","1","Information Not Available","2016","47549","1"
"AK","4","1","Información No Disponible","2016","47549","2"
"AK","4","2","$139 - $196","2016","47550","1"
"AK","4","2","$139 - $196","2016","47550","2"
"AK","4","3","Information Not Available","2016","47551","1"
"AK","4","3","Información No Disponible","2016","47551","2"
"AK","4","4","Information Not Available","2016","47552","1"
"AK","4","4","Información No Disponible","2016","47552","2"
"AK","4","5","Information Not Available","2016","47553","1"
"AK","4","5","Información No Disponible","2016","47553","2"
"AK","4","6","Information Not Available","2016","47554","1"
"AK","4","6","Información No Disponible","2016","47554","2"
"AK","6","1","Information Not Available","2016","47561","1"
"AK","6","1","Información No Disponible","2016","47561","2"
"AK","6","2","$116 - $298","2016","47562","1"
"AK","6","2","$116 - $298","2016","47562","2"
"AK","6","3","Information Not Available","2016","47563","1"
"AK","6","3","Información No Disponible","2016","47563","2"
"AK","6","4","Information Not Available","2016","47564","1"
"AK","6","4","Información No Disponible","2016","47564","2"
"AK","6","5","Information Not Available","2016","47565","1"
"AK","6","5","Información No Disponible","2016","47565","2"
"AK","6","6","Information Not Available","2016","47566","1"
"AK","6","6","Información No Disponible","2016","47566","2"
"AK","7","1","Information Not Available","2016","47567","1"
"AK","7","1","Información No Disponible","2016","47567","2"
"AK","7","2","$31 - $73","2016","47568","1"
"AK","7","2","$31 - $73","2016","47568","2"
"AK","7","3","Information Not Available","2016","47569","1"
"AK","16","5","Información No Disponible","2016","47625","2"
"AK","16","6","Information Not Available","2016","47626","1"
"AK","16","6","Información No Disponible","2016","47626","2"
"AK","18","1","Information Not Available","2016","47633","1"
"AK","18","1","Información No Disponible","2016","47633","2"
"AK","18","2","Information Not Available","2016","47634","1"
"AK","18","2","Información No Disponible","2016","47634","2"
"AK","18","3","Information Not Available","2016","47635","1"
"AK","18","3","Información No Disponible","2016","47635","2"
"AK","18","4","Information Not Available","2016","47636","1"
"AK","18","4","Información No Disponible","2016","47636","2"
"AK","18","5","Information Not Available","2016","47637","1"
"AK","18","5","Información No Disponible","2016","47637","2"
"AK","18","6","Information Not Available","2016","47638","1"
"AK","18","6","Información No Disponible","2016","47638","2"
"AK","19","1","Information Not Available","2016","47639","1"
"AK","19","1","Información No Disponible","2016","47639","2"
"AK","19","2","Information Not Available","2016","47640","1"
"AK","19","2","Información No Disponible","2016","47640","2"
"AK","19","3","Information Not Available","2016","47641","1"
"AK","19","3","Información No Disponible","2016","47641","2"
"AK","19","4","Information Not Available","2016","47642","1"
"AK","19","4","Información No Disponible","2016","47642","2"
"AK","19","5","Information Not Available","2016","47643","1"
"AK","19","5","Información No Disponible","2016","47643","2"
"AK","19","6","Information Not Available","2016","47644","1"
"AK","19","6","Información No Disponible","2016","47644","2"
"AK","20","1","Information Not Available","2016","47645","1"
"AK","20","1","Información No Disponible","2016","47645","2"
"AK","20","2","Information Not Available","2016","47646","1"
"AK","20","2","Información No Disponible","2016","47646","2"
"AK","20","3","Information Not Available","2016","47647","1"
"AK","20","3","Información No Disponible","2016","47647","2"
"AK","20","4","Information Not Available","2016","47648","1"
"AK","20","4","Información No Disponible","2016","47648","2"
"AK","20","5","Information Not Available","2016","47649","1"
"AK","20","5","Información No Disponible","2016","47649","2"
"AK","20","6","Information Not Available","2016","47650","1"
"AK","20","6","Información No Disponible","2016","47650","2"
"AK","39","1","Information Not Available","2016","47675","1"
