"StateName","Org_ID","Name","Phone","Ext"
"Alabama","2","Continental General Insurance Company","8772938499",""
"Colorado","2","Continental General Insurance Company","8772938499",""
"Indiana","2","Continental General Insurance Company","8664594272",""
"Kentucky","2","Continental General Insurance Company","8772938499",""
"Michigan","2","Continental General Insurance Company","8772938499",""
"Missouri","2","Continental General Insurance Company","8664594272","4"
"North Carolina","2","Continental General Insurance Company","8772938499",""
"New Mexico","2","Continental General Insurance Company","8772938499",""
"Oregon","2","Continental General Insurance Company","8772938499",""
"Pennsylvania","2","Continental General Insurance Company","8664494272",""
"South Carolina","2","Continental General Insurance Company","8002842898",""
"Tennessee","2","Continental General Insurance Company","8002842898",""
"Texas - Eastern & Southern","2","Continental General Insurance Company","8772938499",""
"Texas - Northern & Western","2","Continental General Insurance Company","8772938499",""
"Virginia","2","Continental General Insurance Company","8772938499",""
"West Virginia","2","Continental General Insurance Company","8002472190",""
"Alabama","4","Thrivent Financial for Lutherans","8008474836",""
"Arkansas","4","Thrivent Financial for Lutherans","8008474836",""
"Arizona","4","Thrivent Financial for Lutherans","8008474836",""
"California - Northern & Central","4","Thrivent Financial for Lutherans","8008474836",""
"California - Southern","4","Thrivent Financial for Lutherans","8008474836",""
"Colorado","4","Thrivent Financial for Lutherans","8008474836",""
"Iowa","4","Thrivent Financial for Lutherans","8008474836",""
"Idaho","4","Thrivent Financial for Lutherans","8008474836",""
"Illinois","4","Thrivent Financial for Lutherans","8008474836",""
"Indiana","4","Thrivent Financial for Lutherans","8008474836",""
"Kansas","4","Thrivent Financial for Lutherans","8008474836",""
"Kentucky","4","Thrivent Financial for Lutherans","8008474836",""
"Louisiana","4","Thrivent Financial for Lutherans","8008474836",""
"Maryland","4","Thrivent Financial for Lutherans","8008474836",""
"Michigan","4","Thrivent Financial for Lutherans","8008474836",""
"Missouri","4","Thrivent Financial for Lutherans","8008474836",""
"Mississippi","4","Thrivent Financial for Lutherans","8008474836",""
"Montana","4","Thrivent Financial for Lutherans","8008474836",""
"North Carolina","4","Thrivent Financial for Lutherans","8008474836",""
"North Dakota","4","Thrivent Financial for Lutherans","8008474836",""
"Nebraska","4","Thrivent Financial for Lutherans","8008474836",""
"New Mexico","4","Thrivent Financial for Lutherans","8008474836",""
"Nevada","4","Thrivent Financial for Lutherans","8008474836",""
"Ohio - Western & Southern","4","Thrivent Financial for Lutherans","8008474836",""
"Ohio - Eastern","4","Thrivent Financial for Lutherans","8008474836",""
"Oklahoma","4","Thrivent Financial for Lutherans","8008474836",""
"Oregon","4","Thrivent Financial for Lutherans","8008474836",""
"Pennsylvania","4","Thrivent Financial for Lutherans","8008474836",""
"South Dakota","4","Thrivent Financial for Lutherans","8008474836",""
"Tennessee","4","Thrivent Financial for Lutherans","8008474836",""
"Texas - Eastern & Southern","4","Thrivent Financial for Lutherans","8008474836",""
"Texas - Northern & Western","4","Thrivent Financial for Lutherans","8008474836",""
"Virginia","4","Thrivent Financial for Lutherans","8008474836",""
"Wisconsin","4","Thrivent Financial for Lutherans","8008474836",""
"Wyoming","4","Thrivent Financial for Lutherans","8002255225",""
"Indiana","9","Life Investors Insurance Co Of America","8007529797",""
"Iowa","12","American Family Life Assurance Company of Columbus (AFLAC)","8009923522",""
"Kansas","12","American Family Life Assurance Company of Columbus (AFLAC)","8009923522",""
"Louisiana","12","American Family Life Assurance Company of Columbus (AFLAC)","8009923522",""
"Michigan","12","American Family Life Assurance Company of Columbus (AFLAC)","8009923522",""
"New Mexico","12","American Family Life Assurance Company of Columbus (AFLAC)","8007502407",""
"Nevada","12","American Family Life Assurance Company of Columbus (AFLAC)","8667086223",""
