"zip_code","county_name","state_name","name","addrs1","city","abbrev","zip","web_addr","textcond","sp_textcond","description","over65","under65","na_available","community","issue","attained","na_rating","last_mod"
"20101","LOUDOUN","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20102","LOUDOUN","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20103","LOUDOUN","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20104","LOUDOUN","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20105","LOUDOUN","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20106","CULPEPER","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20106","FAUQUIER","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20106","RAPPAHANNOCK","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20108","MANASSAS CITY","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
"20109","PRINCE WILLIAM","Virginia","Anthem Blue Cross Blue Shield","700 Broadway","Denver","CO","80273","www.anthem.com","This Medigap plan may not be available in your area.  Please contact the plan for details.","Este plan de Medigap puede no estar disponible en su área. Para más información  comuníquese con el plan.","Medigap Policy A","True","False","False","False","False","True","False","Apr 05  2011"
